Graph: n10-3 | Drawing: A | Stress: 0.4 | Size: 10 | Path: 0 -> 8 (Length: 2)
Graph: n10-3 | Drawing: B | Stress: 0.4 | Size: 10 | Path: 0 -> 8 (Length: 2)
Graph: n10-3 | Drawing: C | Stress: 0.4 | Size: 10 | Path: 0 -> 8 (Length: 2)
Graph: n10-3 | Drawing: A | Stress: 0.45 | Size: 10 | Path: 3 -> 9 (Length: 3)
Graph: n10-3 | Drawing: B | Stress: 0.45 | Size: 10 | Path: 3 -> 9 (Length: 3)
Graph: n10-3 | Drawing: C | Stress: 0.45 | Size: 10 | Path: 3 -> 9 (Length: 3)
Graph: n10-3 | Drawing: A | Stress: 0.5 | Size: 10 | Path: 3 -> 8 (Length: 4)
Graph: n10-3 | Drawing: B | Stress: 0.5 | Size: 10 | Path: 3 -> 8 (Length: 4)
Graph: n10-3 | Drawing: C | Stress: 0.5 | Size: 10 | Path: 3 -> 8 (Length: 4)
Graph: n10-3 | Drawing: A | Stress: 0.55 | Size: 10 | Path: 0 -> 3 (Length: 2)
Graph: n10-3 | Drawing: B | Stress: 0.55 | Size: 10 | Path: 0 -> 3 (Length: 2)
Graph: n10-3 | Drawing: C | Stress: 0.55 | Size: 10 | Path: 0 -> 3 (Length: 2)
Graph: n10-3 | Drawing: A | Stress: 0.6 | Size: 10 | Path: 5 -> 8 (Length: 3)
Graph: n10-3 | Drawing: B | Stress: 0.6 | Size: 10 | Path: 5 -> 8 (Length: 3)
Graph: n10-3 | Drawing: C | Stress: 0.6 | Size: 10 | Path: 5 -> 8 (Length: 3)
Graph: n10-3 | Drawing: A | Stress: 0.65 | Size: 10 | Path: 8 -> 9 (Length: 4)
Graph: n10-3 | Drawing: B | Stress: 0.65 | Size: 10 | Path: 8 -> 9 (Length: 4)
Graph: n10-3 | Drawing: C | Stress: 0.65 | Size: 10 | Path: 8 -> 9 (Length: 4)
Graph: n10-3 | Drawing: A | Stress: 0.7 | Size: 10 | Path: 2 -> 8 (Length: 2)
Graph: n10-3 | Drawing: B | Stress: 0.7 | Size: 10 | Path: 2 -> 8 (Length: 2)
Graph: n10-3 | Drawing: C | Stress: 0.7 | Size: 10 | Path: 2 -> 8 (Length: 2)
Graph: n10-3 | Drawing: A | Stress: 0.75 | Size: 10 | Path: 1 -> 5 (Length: 3)
Graph: n10-3 | Drawing: B | Stress: 0.75 | Size: 10 | Path: 1 -> 5 (Length: 3)
Graph: n10-3 | Drawing: C | Stress: 0.75 | Size: 10 | Path: 1 -> 5 (Length: 3)
Graph: n10-3 | Drawing: A | Stress: 0.8 | Size: 10 | Path: 4 -> 5 (Length: 2)
Graph: n10-3 | Drawing: B | Stress: 0.8 | Size: 10 | Path: 4 -> 5 (Length: 2)
Graph: n10-3 | Drawing: C | Stress: 0.8 | Size: 10 | Path: 4 -> 5 (Length: 2)
